bl_code,name,quantity
61301,Accents 301,39
61305,Accents 305,39
61308,Accents 308,54
61311,Accents 311,109
61315,Accents 315,27
61318,Accents 318,36
MAR000001,Ardell Catalog by BL,0
MAR000002,Ardell Catalog Model Face,0
MAR000003,Ardell Flyer by BL,0
63000,Ardell Lash Applicator,116
65020,Beauties Black,72
75023,Brow & Lash Comb,66
75017,Brow & Lash Growth Accelerator,15
ARD000001,Brow Angled brush,0
25535,Brow Defining Kit,72
68055,BROW DEFINING POWDER DARK BROWN,72
75014,Brow Defining Powder Mink Brown,10
68046,Brow Defining Powder Soft Black,72
75016,Brow Defining Powder Soft Black,291
75015,Brow Defining Powder Taupe,10
25534,Brow Grooming Kit 6 pc. Display,49
75048,Brow Grooming Pencil,103
75040,Brow Pencil Black 2 pack,227
75041,Brow Pencil Brown 2 pack,10
75042,Brow Pencil Taupe 2 pack,11
68065,Brow Perfection Stencils,5
75019,Brow Perfection Stencils,15
68053,Brow Powder Pallet Dark,1
68051,Brow Powder Pallet Light,13
68052,Brow Powder Pallet Medium,0
25546,Brow Precision Shaper,0
75013,Brow Sculpting Gel Almost Black,241
75010,Brow Sculpting Gel Clear,6
75011,Brow Sculpting Gel Light Brown,28
68067,BROW SCURPTING GEL,71
75009,Brow Shapers,78
25549,Brow Shaping Kit,72
75021,Brow Trim & Shape,28
AR52360,Brush On Lash Adhesive,6
61835,Color Impact 110 Blue,29
61833,Color Impact 110 Green,33
61844,Color Impact 110 Wine,25
61845,Color Impact Demi Wispies Blue,17
61843,Color Impact Demi Wispies Plum,44
61834,Color Impact Demi Wispies Wine,63
ARD000003,Comb Pack Natural,0
25531,Complete Brow Grooming Kit Display,162
52324,Deluxe Lash Applicator,25
47114,Double Up Lash 201,0
47115,Double Up Lash 202,88
47116,Double Up Lash 203,100
47117,Double Up Lash 204,80
47118,Double Up Lash 205,115
47119,Double Up Lash 206,110
68079,Duo Brow Brush,7
568034,Duo Lash Adhesive Clear,84
568044,Duo Lash Adhesive Dark,83
653015,Duo Lash Adhesive Surgical,0
AR60078,Duralash 6pk Individual Medium Black,0
AR60079,Duralash 6pk Individual Short Black,0
AR60075,Duralash 6pk Individuals Combo Black,11
AR61496,Duralash Double Individuals Flare Knot-Free Long Black,36
AR61485,Duralash Double Individuals Flare Knot-Free Medium Black,36
AR61484,Duralash Double Individuals Flare Knot-Free Short Black,36
AR30310,Duralash Flare Long Black,362
AR65099,Duralash Flare Long Black,0
40920,Duralash Flare Long Brown,10
AR30320,Duralash Flare Long Brown,0
AR30210,Duralash Flare Medium Black,28
AR65097,Duralash Flare Medium Black,0
AR30220,Duralash Flare Medium Brown,82
AR65098,Duralash Flare Medium Brown,0
AR30510,Duralash Flare Mini Black,622
AR65094,Duralash Flare Mini Black,0
